@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop {never,sometimes,always}
@ATTRIBUTE raised_flop {never,sometimes,always}
@ATTRIBUTE raised_turn {never,sometimes,always}
@ATTRIBUTE raised_river {never,sometimes,always}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
always,never,never,never,2,3,3,6,8,2,22,0,360.3454545454546
never,always,never,never,3,4,4,5,T,2,22,0,427.5664335664336
never,never,never,never,3,5,7,T,A,2,22,3,183.5924764890282
never,never,never,never,2,2,8,T,A,2,22,3,318.8622377622378
always,sometimes,never,never,6,6,8,T,Q,2,3,3,587.7461538461539
never,never,never,never,2,3,7,T,Q,1,2,0,90.58307210031347
never,always,sometimes,sometimes,2,2,3,3,T,2,22,3,1130.551282051282
never,sometimes,always,sometimes,4,5,6,T,K,2,22,3,1655.0524475524476
never,sometimes,never,sometimes,2,4,7,T,K,1,2,0,702.2034965034966
never,sometimes,never,sometimes,5,9,Q,K,K,1,2,0,1554.597902097902
never,never,never,never,5,7,9,T,K,2,2,3,151.03918495297805
never,sometimes,never,never,2,3,4,7,8,1,1,0,379.1188811188811
never,never,never,never,3,5,8,8,9,1,1,0,691.6055944055944
never,always,never,never,T,T,Q,A,A,2,2,0,1614.7505827505827
never,never,sometimes,never,3,7,7,8,J,2,2,3,657.3895104895105
never,never,never,never,4,7,8,9,T,1,1,0,241.8244514106583
never,never,never,never,3,6,8,T,K,2,2,0,248.90125391849529
never,never,never,never,5,8,9,T,A,3,3,3,249.10344827586206
never,never,never,never,7,8,8,9,Q,3,3,3,689.486013986014
never,never,never,never,3,4,5,5,K,1,1,0,505.08251748251746
never,never,never,never,2,9,9,T,A,2,3,4,785.16993006993
never,never,never,never,4,6,J,Q,A,2,2,3,222.8181818181818
never,never,never,never,2,4,T,K,A,1,2,0,241.0156739811912
never,never,never,never,2,7,9,T,Q,2,2,3,358.5286713286713
never,never,never,always,2,4,6,J,K,1,2,0,1039.5195804195805
never,never,never,never,2,4,J,A,A,1,2,0,1120.972027972028
never,never,never,never,2,3,4,5,6,3,4,4,1739.6
never,never,never,never,2,T,J,Q,A,1,2,0,224.2335423197492
never,never,never,never,2,6,7,7,J,2,3,3,610.7587412587413
never,never,never,never,2,3,5,9,Q,2,2,0,210.4843260188088
never,never,never,never,2,6,9,J,Q,2,22,3,294.0328671328671
never,never,never,never,3,6,8,J,J,2,2,0,868.1363636363636
never,never,never,never,3,8,9,9,Q,2,2,0,755.4958041958041
never,never,never,never,3,6,6,7,8,2,2,0,573.5146853146853
never,never,never,never,5,7,7,8,K,2,22,0,638.3132867132867
never,always,sometimes,never,2,T,Q,Q,A,2,2,0,990.4664335664336
never,never,never,never,5,5,6,T,Q,2,2,3,491.1538461538462
never,never,never,never,4,5,T,Q,K,3,3,3,150.8369905956113
never,never,never,never,5,9,T,K,K,2,22,3,1015.2958041958042
never,never,never,never,4,5,6,7,9,1,2,0,234.9498432601881
never,never,never,never,3,4,5,6,Q,2,3,3,506.2937062937063
never,never,never,never,5,7,9,J,K,2,3,3,247.4858934169279
never,never,never,never,7,8,Q,Q,A,1,2,0,990.4664335664336
never,never,never,never,4,6,7,7,T,2,2,0,651.9391608391609
never,never,never,never,2,3,T,J,Q,3,3,3,88.358934169279
never,never,never,never,2,3,4,6,K,2,2,0,243.64420062695925
never,never,never,never,2,3,5,6,A,3,3,3,196.93730407523512
never,never,never,never,2,8,8,K,K,1,1,0,1527.7972027972028
sometimes,never,always,never,3,6,7,Q,K,2,2,0,257.59561128526644
never,never,sometimes,never,7,7,9,J,Q,2,2,0,1300.8846153846155
never,never,sometimes,never,4,5,7,7,K,2,3,4,1816.4557556773689
never,never,never,never,2,4,8,9,A,2,3,3,211.6974921630094
never,never,never,never,6,6,8,J,Q,1,2,3,1255.025641025641
never,sometimes,never,never,4,7,9,Q,A,2,2,0,587.4433566433567
never,always,never,never,5,6,7,J,K,1,2,3,770.9384615384615
never,never,never,never,3,4,4,5,8,1,2,0,431.5027972027972
never,sometimes,sometimes,sometimes,7,8,Q,K,A,3,3,3,1839.3469068128427
never,never,never,never,5,6,7,7,9,2,2,3,627.1097902097902
never,sometimes,never,never,2,3,4,9,J,1,2,0,870.8615384615384
never,never,never,never,2,4,6,7,J,2,3,3,197.94827586206895
never,never,never,never,6,T,T,Q,K,1,1,0,840.5818181818182
always,sometimes,never,never,4,4,5,T,K,2,22,0,457.5433566433567
never,never,never,never,2,5,6,7,A,2,2,3,182.3793103448276
never,never,never,never,3,3,4,7,8,1,2,0,371.24615384615385
never,never,never,never,4,8,T,J,A,2,3,4,851.4825174825174
never,never,never,never,4,5,9,Q,K,2,22,3,150.63479623824452
never,never,never,never,2,2,3,7,A,1,1,0,315.8342657342657
sometimes,sometimes,never,never,6,8,9,T,K,3,3,4,241.8244514106583
never,never,never,never,2,5,6,7,A,1,2,0,207.65360501567397
never,never,never,never,8,8,J,J,Q,2,2,0,1405.109557109557
never,never,never,never,4,7,7,J,Q,2,2,3,626.2013986013985
never,never,never,never,3,4,8,J,K,2,22,0,128.19122257053291
never,sometimes,always,never,2,3,5,J,K,1,2,3,1052.8426573426573
never,never,never,never,2,5,T,Q,K,2,2,0,157.7115987460815
never,never,never,never,2,3,7,9,9,2,3,3,767.0020979020978
never,always,always,never,3,6,8,9,T,1,2,3,769.1216783216782
never,sometimes,never,sometimes,4,6,7,Q,A,2,22,0,1098.2622377622379
never,never,never,never,4,4,7,7,A,2,2,0,1209.1666666666667
never,never,always,never,8,9,T,Q,A,2,3,3,256.38244514106583
never,sometimes,never,never,4,4,7,8,9,2,2,0,1241.3275058275058
never,sometimes,never,never,5,7,8,T,J,2,2,3,224.63793103448276
never,always,never,never,3,4,5,9,A,1,2,3,780.0223776223776
never,never,never,never,7,9,T,Q,K,2,2,0,1523.032634032634
never,sometimes,always,sometimes,6,7,Q,K,A,2,3,3,1123.3944055944057
never,sometimes,sometimes,sometimes,7,7,8,K,A,2,2,0,1595.6923076923076
never,never,never,never,2,3,3,7,9,1,1,0,360.64825174825177
never,never,never,never,6,6,7,8,J,1,1,0,549.5937062937063
never,sometimes,sometimes,never,2,5,9,Q,A,2,22,0,654.0587412587413
never,never,never,never,2,6,8,J,Q,2,3,3,81.07993730407523
always,sometimes,never,never,4,6,9,T,A,2,2,0,851.7853146853147
sometimes,always,never,never,4,5,9,J,Q,1,1,0,907.1972027972027
always,sometimes,always,sometimes,4,5,7,T,A,2,22,3,1852.371182458888
never,always,always,never,5,6,9,T,K,2,3,3,571.6979020979021
never,never,never,never,6,6,9,T,Q,2,2,0,574.1202797202798
never,never,sometimes,sometimes,4,4,4,7,9,2,2,0,1656.027972027972
never,sometimes,never,never,2,6,6,Q,A,2,2,0,591.0769230769231
never,never,never,never,2,4,4,9,T,1,2,0,436.04475524475527
never,never,never,never,7,8,T,J,Q,1,2,0,90.58307210031347
never,never,never,never,4,6,8,J,Q,2,2,3,920.5202797202797
never,never,never,always,3,5,Q,Q,K,1,2,3,1450.9685314685314
never,never,never,never,3,6,7,T,J,1,2,0,638.3132867132867
never,always,never,always,3,5,T,Q,A,2,22,3,388.2027972027972
never,never,never,never,5,7,7,8,8,2,2,0,1260.3857808857808
never,sometimes,never,never,2,3,5,K,A,2,22,3,1050.4202797202797
never,sometimes,always,sometimes,3,K,K,A,A,2,2,0,1927.2307692307693
never,always,sometimes,never,2,8,J,Q,A,2,2,3,454.8181818181818
never,never,always,never,3,5,6,8,Q,1,2,0,387.2944055944056
never,never,never,sometimes,2,4,5,7,8,2,2,3,1751.2
never,never,sometimes,sometimes,4,5,6,9,K,1,2,3,433.31958041958046
never,never,always,never,3,5,7,T,A,1,2,0,845.1237762237762
never,never,never,never,6,6,8,J,A,1,2,0,585.3237762237762
never,never,always,always,4,5,8,T,A,2,3,3,1844.5434612372749
never,never,never,sometimes,7,9,9,Q,K,2,22,0,1306.8403263403263
sometimes,sometimes,always,sometimes,2,3,3,J,J,1,2,3,1372.948717948718
never,never,never,never,2,4,6,7,J,2,22,3,89.36990595611286
never,sometimes,sometimes,never,2,2,3,9,Q,1,2,0,1423.572261072261
never,never,never,never,4,4,6,7,9,2,2,3,1206.188811188811
never,never,never,never,2,3,8,T,K,3,3,3,856.6300699300699
never,sometimes,sometimes,sometimes,4,5,5,8,K,2,22,0,1215.1223776223776
never,never,never,never,6,T,J,Q,A,2,2,0,224.2335423197492
never,never,never,never,3,5,5,6,8,2,3,3,474.8027972027972
never,always,never,always,3,4,9,A,A,2,2,3,1573.6561771561771
never,never,never,never,2,4,6,J,Q,1,1,0,220.59404388714734
never,never,never,never,7,8,8,Q,A,3,3,3,720.6741258741258
never,never,never,sometimes,4,8,8,9,T,2,2,0,1239.5407925407926
never,never,never,never,4,7,8,J,J,1,2,3,868.1363636363636
never,never,never,never,3,3,4,K,A,1,1,0,390.62517482517484
never,never,never,never,4,4,5,6,J,2,3,3,426.35524475524477
never,never,never,sometimes,3,4,5,Q,K,1,2,0,1745.4
never,always,never,sometimes,5,6,7,J,J,1,2,0,917.7951048951049
never,never,never,never,2,3,4,5,9,2,2,0,665.565034965035
always,sometimes,sometimes,never,3,3,4,6,J,2,2,0,1568.2960372960374
never,never,never,sometimes,3,4,6,9,J,1,2,0,614.0895104895105
never,always,never,sometimes,2,3,J,Q,Q,2,2,0,1479.555944055944
never,sometimes,never,never,3,6,7,Q,K,2,22,0,391.2307692307692
never,never,sometimes,sometimes,4,6,8,T,K,2,22,3,1026.802097902098
never,never,never,never,5,6,6,K,A,1,2,0,591.0769230769231
never,never,never,never,2,7,J,K,K,2,22,0,1489.6806526806527
never,never,never,never,4,5,6,8,J,2,2,0,221.6050156739812
never,always,always,sometimes,3,8,Q,A,A,2,22,0,1931.6025641025642
never,never,never,never,2,3,4,8,T,2,2,0,302.5111888111888
never,sometimes,never,sometimes,8,8,9,K,A,1,2,3,1602.2435897435898
sometimes,always,always,never,2,2,3,6,6,2,2,3,1824.5465935787001
never,never,sometimes,sometimes,3,T,J,Q,Q,1,1,0,1430.719114219114
never,sometimes,never,never,6,6,8,J,A,2,3,3,590.774125874126
never,never,always,sometimes,2,5,6,7,J,2,2,0,651.0307692307692
never,sometimes,always,never,4,9,K,A,A,1,2,3,1123.6972027972029
never,never,never,never,3,T,J,Q,Q,2,2,0,959.5811188811189
never,always,always,sometimes,7,9,T,T,A,3,4,4,1613.5594405594406
never,never,always,sometimes,4,5,5,6,K,2,2,0,1162.7121212121212
never,sometimes,sometimes,never,3,7,J,J,K,1,1,0,1372.3531468531469
always,sometimes,always,sometimes,3,8,9,J,Q,2,2,3,973.8125874125874
never,never,sometimes,never,9,J,J,Q,A,2,2,0,921.1258741258741
never,always,always,sometimes,2,2,3,3,6,2,3,3,1172.8368298368298
never,never,never,never,5,8,9,T,J,2,3,3,1780.2
never,never,never,sometimes,5,T,J,Q,K,1,2,3,1780.2
never,never,always,never,4,8,T,T,Q,2,22,3,1475.9825174825176
never,never,never,never,3,5,8,T,K,2,2,0,840.279020979021
always,sometimes,sometimes,never,3,4,8,9,J,1,2,0,223.22257053291537
never,never,always,sometimes,3,4,6,9,J,1,1,0,585.020979020979
never,never,always,sometimes,3,4,8,8,J,1,2,3,1235.371794871795
always,always,always,never,3,3,7,8,A,2,2,0,1431.9102564102564
never,never,never,never,2,3,J,K,K,2,3,4,1021.9573426573427
never,never,never,never,4,5,7,Q,A,2,2,3,978.6573426573426
never,never,never,never,3,7,J,K,A,2,3,4,244.8573667711599
never,never,always,never,2,4,5,5,K,2,2,0,1149.609557109557
never,always,always,never,7,8,T,Q,K,2,2,0,1037.7027972027972
never,always,sometimes,always,6,7,9,T,K,2,22,3,1690.8216783216783
never,never,never,never,5,6,Q,K,A,1,2,3,255.9780564263323
sometimes,never,never,never,3,4,6,8,T,1,2,0,240.20689655172413
never,never,never,never,2,3,8,8,Q,2,22,3,694.027972027972
never,never,sometimes,sometimes,4,8,9,T,Q,2,22,0,425.14405594405594
never,always,sometimes,always,4,7,7,T,J,2,2,0,1398.558275058275
never,never,never,sometimes,2,7,8,J,K,1,2,0,900.2328671328671
never,never,never,never,7,J,Q,Q,Q,2,2,0,1711.4160839160838
never,always,never,never,3,5,7,T,Q,2,22,3,491.7594405594406
never,never,never,sometimes,3,7,8,8,K,2,2,0,1254.43006993007
never,never,never,never,2,5,6,6,J,2,2,3,549.290909090909
never,sometimes,always,sometimes,7,T,J,Q,Q,2,22,0,1483.1293706293707
never,never,never,sometimes,2,3,8,9,Q,1,2,0,289.7937062937063
never,never,never,never,2,2,6,7,T,2,2,0,315.8342657342657
never,never,never,never,8,T,J,K,A,2,2,0,923.8510489510489
never,always,never,never,2,6,Q,Q,K,2,2,0,965.0314685314685
never,never,never,never,2,3,9,T,A,2,3,3,200.576802507837
never,never,always,never,3,9,9,Q,A,2,22,0,787.5923076923077
never,always,never,never,3,7,8,9,T,2,3,4,358.5286713286713
always,always,always,always,4,6,8,8,Q,1,2,0,1529.5839160839162
never,sometimes,always,never,3,4,9,J,A,1,2,0,518.4055944055945
never,never,never,never,3,4,4,6,Q,1,2,0,1656.3531468531469
never,sometimes,sometimes,never,2,3,5,9,J,2,2,0,759.4321678321678
never,sometimes,always,sometimes,5,7,9,J,A,1,2,0,1120.6692307692308
never,always,never,never,3,3,5,K,K,2,2,3,1497.423076923077
never,always,never,never,2,4,5,6,A,2,2,0,513.5608391608391
never,never,never,never,2,3,J,J,Q,2,22,0,886.9097902097902
never,always,never,never,2,3,4,7,Q,2,2,0,419.6937062937063
never,never,never,never,4,T,K,A,A,1,2,0,1118.246853146853
never,never,never,never,3,8,T,Q,A,1,2,3,654.3615384615384
never,always,never,sometimes,9,9,J,Q,A,1,2,0,790.9230769230769
never,sometimes,never,never,5,6,7,9,K,1,1,0,640.4328671328672
never,never,sometimes,sometimes,2,8,9,9,A,2,3,3,1607.0081585081584
never,always,sometimes,sometimes,2,3,7,7,Q,2,3,4,1852.0422866092404
never,always,never,sometimes,9,9,T,J,Q,1,2,0,1780.2
never,always,sometimes,sometimes,2,3,3,J,K,2,3,3,1878.3461538461538
always,sometimes,sometimes,sometimes,2,5,8,9,J,2,22,0,1091.2979020979021
never,never,never,never,2,4,5,5,J,1,2,0,518.4055944055945
never,never,always,never,3,7,8,K,A,2,2,0,657.6923076923076
never,never,never,never,3,3,J,K,K,2,2,0,1496.2319347319349
never,never,always,sometimes,5,6,8,T,Q,2,2,0,1247.2832167832169
never,never,never,never,8,J,Q,K,K,2,2,0,1040.1251748251748
never,always,sometimes,never,3,6,8,9,J,2,2,0,571.3951048951049
never,never,never,never,4,7,8,J,Q,1,2,3,90.58307210031347
never,never,never,always,2,6,9,9,J,1,2,3,774.2692307692307
never,always,sometimes,never,5,8,9,J,K,1,2,3,638.0104895104895
never,never,never,never,5,5,6,8,A,2,22,0,518.4055944055945
never,sometimes,sometimes,sometimes,7,8,9,T,A,2,2,0,1353.2948717948718
always,always,never,sometimes,3,6,T,J,Q,1,1,0,1107.3461538461538
never,never,never,never,2,5,7,T,A,2,2,0,182.1771159874608
sometimes,sometimes,sometimes,sometimes,5,5,9,A,A,2,2,0,1581.9941724941725
never,sometimes,sometimes,always,7,T,T,T,Q,3,3,3,1912.128205128205
never,never,never,never,2,4,5,Q,K,2,2,0,156.29623824451411
never,always,sometimes,never,4,8,8,9,Q,2,2,3,1462.2843822843822
never,never,never,never,7,T,K,K,A,2,2,0,1051.025874125874
never,never,never,never,4,5,8,T,K,2,22,3,116.86833855799372
never,sometimes,never,always,3,4,T,J,J,1,2,0,1878.3461538461538
never,never,never,never,2,5,8,9,Q,1,1,0,85.93260188087774
never,sometimes,never,sometimes,2,8,K,A,A,2,2,0,1123.3944055944057
never,sometimes,sometimes,never,2,4,8,T,J,2,22,3,682.8244755244755
never,sometimes,never,never,3,5,9,T,K,1,2,3,369.4293706293706
never,never,never,never,3,7,9,K,A,2,3,4,1051.6314685314685
never,sometimes,never,never,5,5,9,T,A,1,2,0,524.4615384615385
sometimes,sometimes,sometimes,never,6,7,J,Q,A,3,4,4,1621.3018648018647
never,always,sometimes,never,2,2,5,7,9,1,1,0,314.3202797202797
never,sometimes,sometimes,never,2,5,6,T,J,2,2,0,248.49686520376176
never,always,sometimes,sometimes,2,2,7,J,K,2,2,0,1129.9557109557109
never,never,never,never,5,7,9,K,A,3,3,4,1300.8846153846155
never,sometimes,always,always,8,9,T,T,J,2,2,0,1768.6
never,always,sometimes,sometimes,3,5,T,J,Q,1,1,0,1647.0314685314686
never,never,never,never,3,4,5,6,A,1,2,0,519.9195804195804
never,never,never,never,4,6,Q,K,A,1,2,0,457.8461538461538
never,never,never,never,3,5,9,9,J,1,2,0,749.4398601398601
never,always,never,never,2,2,5,6,A,1,1,0,1150.2051282051282
never,always,sometimes,sometimes,2,6,Q,Q,K,1,2,0,1922.0641025641025
sometimes,sometimes,always,never,2,J,J,Q,A,2,3,4,1627.8531468531469
never,sometimes,never,never,2,7,8,J,Q,2,2,3,360.3454545454546
never,never,never,sometimes,4,5,7,9,Q,2,22,0,622.2650349650349
never,always,never,never,2,5,5,9,T,2,3,3,474.5
sometimes,always,always,sometimes,5,9,9,J,K,2,2,0,1608.7948717948718
never,always,never,never,2,5,7,K,A,3,4,4,1838.0313234142523
never,never,never,always,2,6,K,A,A,1,2,3,1589.1410256410256
never,never,never,never,4,6,7,J,A,2,3,3,187.63636363636363
never,always,never,never,2,2,4,J,Q,2,2,0,307.96153846153845
never,always,never,sometimes,3,5,6,8,T,2,2,3,800.006993006993
never,sometimes,always,sometimes,2,4,4,7,J,1,1,0,1883.1153846153845
never,never,never,never,6,6,Q,Q,A,2,3,3,1451.5641025641025
never,never,never,sometimes,3,5,6,7,K,2,2,0,656.1783216783217
never,sometimes,always,never,4,5,7,J,A,2,2,0,452.09300699300695
never,never,never,sometimes,6,7,T,J,Q,2,2,3,987.7412587412588
always,always,always,sometimes,2,5,9,K,A,2,3,4,1864.3429913860612
always,never,always,always,5,5,5,T,T,2,2,0,1909.7435897435898
never,sometimes,never,sometimes,4,5,J,Q,Q,1,2,0,1445.0128205128206
never,never,always,always,3,T,J,Q,A,2,2,3,921.1258741258741
never,always,never,sometimes,3,5,5,K,K,2,2,3,1821.1260767423648
never,sometimes,never,never,2,2,9,K,A,2,3,3,1490.871794871795
never,never,never,sometimes,4,5,5,8,K,2,3,3,523.8559440559441
never,sometimes,always,sometimes,2,4,4,7,T,1,2,0,1327.0897435897436
never,always,sometimes,never,2,6,7,8,K,2,2,0,149.82601880877743
never,never,never,never,4,7,9,Q,A,2,3,4,1123.3944055944057
never,never,never,never,2,9,9,J,A,1,2,0,783.9587412587413
never,sometimes,always,sometimes,4,5,8,T,A,2,2,3,1353.2948717948718
never,never,never,never,3,6,T,J,K,1,2,0,390.92797202797203
never,never,never,never,8,T,T,T,Q,1,1,0,1698.1923076923076
never,sometimes,never,never,T,J,Q,Q,K,2,22,3,1555.7890442890443
never,never,never,never,2,6,7,J,K,2,3,3,247.28369905956112
never,always,never,sometimes,4,T,Q,K,A,2,3,4,1864.079874706343
never,sometimes,never,never,4,5,J,Q,K,1,2,3,905.986013986014
never,never,never,never,3,6,6,8,9,1,2,0,1291.951048951049
never,always,always,sometimes,4,7,9,Q,A,1,2,0,786.9867132867133
never,sometimes,never,never,8,9,K,K,A,2,2,0,1530.1794871794873
never,never,never,never,6,8,9,T,K,2,22,0,117.0705329153605
never,never,sometimes,sometimes,4,6,8,9,T,1,2,0,1762.8
never,sometimes,sometimes,never,3,4,7,Q,K,1,2,0,440.2839160839161
always,sometimes,sometimes,sometimes,5,7,Q,Q,K,2,2,0,1712.5
never,never,never,never,4,5,Q,K,K,1,2,3,1055.5678321678322
never,never,sometimes,never,4,7,8,J,J,2,3,3,880.8538461538461
never,never,never,never,2,5,8,J,K,2,2,0,123.3385579937304
never,never,sometimes,never,3,3,5,7,K,1,2,0,1156.1608391608393
always,sometimes,never,never,2,2,6,9,K,2,3,3,324.3125874125874
never,sometimes,sometimes,sometimes,4,6,7,A,A,1,2,0,1586.1631701631702
never,always,sometimes,never,4,7,T,J,Q,1,2,0,654.6643356643357
never,never,sometimes,never,6,6,9,J,K,2,22,0,590.774125874126
never,always,sometimes,sometimes,5,T,Q,Q,K,2,2,3,1477.7692307692307
never,never,never,never,6,7,8,T,T,2,3,3,833.6174825174825
never,always,never,never,3,3,4,6,9,2,2,0,1273.488344988345
never,never,never,never,2,2,6,T,Q,1,2,0,321.2846153846154
never,always,always,sometimes,4,5,7,8,9,1,2,0,756.1013986013986
never,sometimes,never,sometimes,3,7,K,K,A,2,2,0,1634.4044289044289
never,sometimes,never,never,4,8,T,J,A,2,3,3,918.0979020979021
never,always,never,never,3,6,T,Q,A,2,2,0,255.77586206896552
never,sometimes,never,sometimes,2,3,5,9,T,2,2,0,736.7223776223776
never,never,never,never,3,5,7,8,K,3,3,3,155.48746081504703
never,never,always,sometimes,2,6,7,8,K,1,1,0,698.56993006993
never,never,never,never,2,5,5,7,T,1,1,0,494.1818181818182
never,sometimes,sometimes,never,3,4,4,K,K,2,22,0,1498.6142191142192
never,never,never,sometimes,3,5,8,9,9,2,3,3,1887.0897435897436
never,sometimes,sometimes,never,2,3,5,T,Q,1,2,0,360.95104895104896
never,never,never,never,6,6,J,Q,A,3,3,4,1857.5019577133908
never,never,never,never,9,Q,K,A,A,2,2,0,1123.3944055944057
never,never,never,never,3,8,9,Q,K,1,1,0,145.57993730407523
